unique_id,metric_id,evidence_id,practice_table6,outcome,intervention,comparator,time_span,covariates,mean,statistic_name,statistic,lower,upper,units,domain,n_studies,n_observations,direction,citation,doi,zotero_collection,source_locator,extracted_verbatim,notes,target_type
11,NF-N2O-03,Cayuela_2017_EFmed,+/- N Fertilization,N2O,"N fertilization, Mediterranean cropping",IPCC default EF of 1%,,water management; crop type; fertilizer type; N rate,0.5,regional emission factor (EF_Med),,,,percent of N applied,Mediterranean cropping systems,,,lower than IPCC default,Cayuela et al. (2017) Agric Ecosyst Environ 238:25-35,10.1016/j.agee.2016.10.006,management/meta-analyses,Abstract,"The average overall EF for Mediterranean agriculture (EFMed) was 0.5%, which is substantially lower than the IPCC default value of 1%",HIGH RELEVANCE to California. Implies inventories built on the 1% IPCC default may overestimate CA cropland N2O.,absolute_reference
12,NF-N2O-04,Cayuela_2017_irrigation,+/- N Fertilization,N2O,drip irrigation,sprinkler irrigation,,,0.51 vs 0.91,emission factor,,,,percent of N applied,Mediterranean irrigated crops,,,decrease,Cayuela et al. (2017) Agric Ecosyst Environ 238:25-35,10.1016/j.agee.2016.10.006,management/meta-analyses,Abstract,Drip irrigation systems (EF: 0.51%) had 44% lower EF than sprinkler irrigation methods (EF: 0.91%),"Rain-fed 0.27% vs irrigated 0.63%. Flooded rice EF 0.19%, attributed to complete denitrification.",contrast
13,FR-N2O-01,Cayuela_2017_rice,Flooding / rice,N2O,flooded rice,other Mediterranean crops,,,0.19,emission factor,,,,percent of N applied,Mediterranean flooded rice,,,low,Cayuela et al. (2017) Agric Ecosyst Environ 238:25-35,10.1016/j.agee.2016.10.006,management/meta-analyses,Abstract,"For flooded rice, anaerobic conditions likely led to complete denitrification and low EFs (EF: 0.19%)",Only traceable evidence found for a flooding x N2O cell. The draft's preferred source (Jiang 2019) is not in Zotero.,absolute_reference
14,SPEC-N2O-01,Li_2024_specialty_global,"(specialty crops, not a Table 6 practice)",N2O,specialty crop systems as managed,"global estimate, not a contrast",,N rate; MAT; MAP; soil organic carbon; soil pH,1.0,range,0.5 to 4.5,0.5,4.5,Tg N2O-N yr-1,global specialty crop soils,114 studies,1137,n/a (absolute estimate),Li et al. (2024) Glob Change Biol 30:e17233,10.1111/gcb.17233,management/meta-analyses,Abstract,"The estimated global N2O emission from specialty crop soils was 1.0 Tg N2O-N year-1, ranging from 0.5 to 4.5","Absolute inventory-style estimate. N2O rises exponentially with N rate. Drip irrigation, fertigation and reduced tillage reduce emissions.",not_viable
15,NCC-SOC-01,VicenteVicente_2016_OA,+Non-crop C,Soil C,"organic amendment (OA), esp. olive mill pomace",conventional management,rate highest in first years then declines,,5.3,sequestration rate,,,,t C ha-1 yr-1,Mediterranean olive orchards,51 references,,increase,Vicente-Vicente et al. (2016) Agric Ecosyst Environ 235:204-214,10.1016/j.agee.2016.10.024,management/meta-analyses,Abstract,The highest soil C sequestration rate (5.3 t C ha-1 yr-1) was observed following application OA in olive orchards,"FILLS A GAP: the draft has no Soil C evidence for +Non-crop C. Sequestration efficiency exceeded 100%, which the authors flag as unaccounted inputs plus positive feedback.",contrast
16,CC-SOC-03,VicenteVicente_2016_CC,+Cover Crops,Soil C,plant cover in inter-row area,conventional management,,,1.1 (olive); 0.78 (vineyard); 2.0 (almond),sequestration rate,,,,t C ha-1 yr-1,Mediterranean woody crops,51 references,,increase,Vicente-Vicente et al. (2016) Agric Ecosyst Environ 235:204-214,10.1016/j.agee.2016.10.024,management/meta-analyses,Abstract,"plant cover management achieved the lowest C sequestration rates (1.1, 0.78 and 2.0 t C ha-1 yr-1, for olive orchards, vineyards and almond orchards respectively)",HIGH RELEVANCE: almond and vineyard are major California systems. Note these rates are well above Poeplau & Don's 0.32 Mg ha-1 yr-1 for annual-crop cover cropping.,contrast
17,RT-GWP-01,Six_2004_GWP_direction,Reduced tillage,(net GWP),no-till (NT),conventional till (CT),"5, 10 and 20 years after conversion",humid vs dry climate; duration,see note,net GWP,,,,kg CO2 equivalents ha-1 yr-1,humid and dry temperate,,,increase then decrease,Six et al. (2004) Glob Change Biol 10(2):155-160,10.1111/j.1529-8817.2003.00730.x,management/tillage,Abstract; Tables 1-2,"Newly converted NT systems increase GWP relative to CT practices, in both humid and dry climate regimes, and longer-term adoption (>10 years) only significantly reduces GWP in humid climates",Directly qualifies Table 6's confident 'reduced tillage -> Soil C increase'. In GWP terms the sign depends on time since conversion and on climate.,deferred_unchecked
18,NF-N2O-05,Bouwman_2002_controls,+/- N Fertilization,N2O,N application to mineral soils,varying N rate,,N rate; soil organic C; texture; drainage; pH; fertilizer type; crop type; measurement duration,no single EF reported,summary of controls,,,,n/a,global agricultural mineral soils,,846 N2O and 99 NO measurements,increase with N rate,Bouwman et al. (2002) Global Biogeochem Cycles 16(4):1058,10.1029/2001GB001811,management,Abstract,Information from 846 N2O emission measurements ... there is a strong increase of both N2O and NO emissions accompanying N application rates,"CAUTION: the draft table names this as the preferred EF source, but the paper argues simple models should REPLACE emission-factor approaches. It reports controls, not a headline EF.",not_viable
19,RT-SOC-01,Robertson_2000_notill_SOC,Reduced tillage,Soil C,no-till,"conventional tillage, same rotation",1991-1999 (9 years),,30,accumulation rate,,,,g C m-2 yr-1,"KBS Michigan, US Midwest maize-soybean-wheat",,,increase,"Robertson, Paul & Harwood (2000) Science 289:1922-1925",10.1126/science.289.5486.1922,"management, cited_references",Results; Table 1,The no-till system accumulated 30 g C m-2 year-1 ... the organic-based systems accumulated 8 to 11 g C m-2 year-1,"TIER 2 - individual experiment, not a synthesis. Authors call 30 g C m-2 yr-1 an average value for Midwest no-till rotations. Fills a cell the draft left empty, but should not outrank a meta-analysis.",contrast
20,XCUT-GWP-01,Robertson_2000_N2O_dominant,(cross-cutting),(net GWP),intensive cropping systems as managed,nearby unmanaged ecosystems,1991-1999,,N2O is the single greatest GWP source,net GWP attribution,,,,g CO2 equivalents m-2 yr-1,KBS Michigan,,,n/a,"Robertson, Paul & Harwood (2000) Science 289:1922-1925",10.1126/science.289.5486.1922,"management, cited_references",Abstract,"In all but one ecosystem, nitrous oxide production was the single greatest source of GWP","IMPORTANT for benchmark design: if N2O dominates net GWP, a MAGiC run with the nitrogen cycle off cannot reproduce net GWP at all. Also: no intensive system provided net mitigation; no-till came closest.",deferred_unchecked
21,AP-CH4-01,Robertson_2000_CH4_oxidation,Annual -> Perennial,CH4,late successional / unmanaged vegetation,intensive cropping,1991-1999,,GWP neutral via CH4 oxidation,net GWP,,,,g CO2 equivalents m-2 yr-1,KBS Michigan,,,CH4 uptake,"Robertson, Paul & Harwood (2000) Science 289:1922-1925",10.1126/science.289.5486.1922,"management, cited_references",Abstract,"In the late successional system, GWP was neutral because of significant methane oxidation","TIER 2. Only traceable evidence touching a perennial/CH4 cell, which Table 6 marks as uncertain. Supports soils as a CH4 sink under perennial cover.",not_viable
22,RT-N2O-04,Snyder_2009_notill_N2O,Reduced tillage,N2O,no-till land,intensively tilled land,1990-2005 inventory,,0.68 vs 0.95,standard deviation,0.57 (no-till); 0.98 (tilled),,,kg N2O-N ha-1 yr-1,Canadian prairie region,,,decrease,Snyder et al. (2009) Agric Ecosyst Environ 133(3-4):247-266,10.1016/j.agee.2009.04.021,"management, cited_references",Section on tillage; Environment Canada 1990-2005 inventory,"emission from no-till land at 0.68 +/- 0.57 kg N2O-N ha-1 year-1, compared to 0.95 +/- 0.98 for intensively tilled land","CAUTION: the standard deviations overlap heavily, so this is a weak signal. It is an inventory estimate for Canada, not a meta-analytic effect size, and Snyder is a review rather than a quantitative synthesis.",contrast
23,NCC-N2O-01,Ma_2021_straw_N2O,+Non-crop C,N2O,"straw return (S, SI, SM) and straw-biochar (SB), equal C input",no straw or biochar (CK),2017-2018 (2 seasons),straw form; microbial inoculant; biochar,all straw treatments below control,ranking,CK > SM > S > SI > SB,,,soil N2O emission,"cotton field, Yancheng, Jiangsu, China",,,decrease,Ma et al. (2021) Soil Tillage Res 213:105126,10.1016/j.still.2021.105126,management/organic matter addition,Abstract,"Soil nitrous oxide (N2O) emissions were consistently decreased under SB, SI, S and SM, ranking as CK > SM > S > SI > SB","CONTRADICTS Table 6, which predicts +Non-crop C increases N2O. TIER 2 - a single two-season experiment in Chinese cotton, so low transferability to California. Records the direction question rather than settling it.",not_viable
24,NCC-CH4-01,Ma_2021_straw_CH4,+Non-crop C,CH4,"straw return / straw-biochar, equal C input",no straw (CK),2017-2018,,"tracks the CO2 response: down under biochar, up under straw+inoculant and straw",qualitative,,,,soil CH4 emission,"cotton field, Jiangsu, China",,,variable by straw form,Ma et al. (2021) Soil Tillage Res 213:105126,10.1016/j.still.2021.105126,management/organic matter addition,Abstract,The response of soil methane (CH4) emissions to all treatments was similar to the CO2 emissions,"TIER 2. The only traceable evidence found for a +Non-crop C / CH4 cell, which the draft leaves empty. The form of the carbon matters more than the amount - C input was held equal across treatments.",not_viable
25,NCC-GWP-01,Ma_2021_biochar_GWP,+Non-crop C,(net GWP),"straw-biochar (SB, 3.5 t ha-1)",no straw (CK),2017-2018,,-17.9 to -19.8,range across two seasons,17.9 to 19.8,-19.8,-17.9,percent change in GWP,"cotton field, Jiangsu, China",,,decrease,Ma et al. (2021) Soil Tillage Res 213:105126,10.1016/j.still.2021.105126,management/organic matter addition,Abstract,"SI and S significantly increased the global warming potential (GWP), whereas SB significantly decreased GWP by 17.9%-19.8%","TIER 2. Direction of the +Non-crop C effect on net GWP depends on the FORM of carbon added: raw straw increased GWP, biochar decreased it, at equal C input. A statewide 'non-crop C' scenario that does not distinguish form cannot be benchmarked against this.",deferred_unchecked
26,FR-CH4-01,Conrad_2007_excluded,Flooding / rice,CH4,n/a,n/a,,,no quantitative synthesis reported,n/a,,,,n/a,global methanogen / methanotroph ecology,,,n/a,Conrad (2007) Advances in Agronomy 96:1-63,10.1016/S0065-2113(07)96005-8,"management, cited_references",Whole chapter (table of contents),Chapter contents: microbial ecology of methanogens and methanotrophs; no pooled effect size or emission factor is reported,"EXCLUDED FROM CORE EVIDENCE. A process-level review, not a quantitative synthesis, so it cannot supply an effect size for a flooding x CH4 cell. Issue #164 already marks this reference with a cross. Recorded so the exclusion is documented rather than silent.",not_viable
27,RT-GWP-02,Six_2004_GWP_humid_yr5,Reduced tillage,(net GWP),"no-till, 5 years after conversion",conventional till,5 years,humid temperate,+391,standard error,238,,,kg CO2-eq ha-1 yr-1 (soil-derived GWP),humid temperate cropland,,,increase (warming),Six et al. (2004) Glob Change Biol 10(2):155-160,10.1111/j.1529-8817.2003.00730.x,management/tillage,Table 1,Soil-derived GWP Humid 391 (SE 238) at year 5,"Positive = increases warming. Newly converted no-till is a NET SOURCE, driven by N2O (+1114 SE 237) outweighing SOC gain (-710 SE 16).",deferred_onfarm_ok
28,RT-GWP-03,Six_2004_GWP_humid_yr20,Reduced tillage,(net GWP),"no-till, 20 years after conversion",conventional till,20 years,humid temperate,-2066,standard error,565,,,kg CO2-eq ha-1 yr-1 (soil-derived GWP),humid temperate cropland,,,decrease (mitigation),Six et al. (2004) Glob Change Biol 10(2):155-160,10.1111/j.1529-8817.2003.00730.x,management/tillage,Table 1,Soil-derived GWP Humid 2066 (SE 565) at year 20; caption: negative numbers indicate a reduction in GWP,SIGN FLIPS between year 5 and year 20 in the same climate. By year 20 N2O also turns negative (-1238 SE 565).,deferred_onfarm_ok
29,RT-GWP-02,Six_2004_GWP_dry_yr5,Reduced tillage,(net GWP),"no-till, 5 years after conversion",conventional till,5 years,dry temperate,+1508,standard error,432,,,kg CO2-eq ha-1 yr-1 (soil-derived GWP),dry temperate cropland,,,increase (warming),Six et al. (2004) Glob Change Biol 10(2):155-160,10.1111/j.1529-8817.2003.00730.x,management/tillage,Table 1,Soil-derived GWP Dry 1508 (SE 432) at year 5,The largest warming penalty in the table. Dry-climate no-till is a strong net source in its first years.,deferred_onfarm_ok
30,RT-GWP-04,Six_2004_cumulative_humid,Reduced tillage,(net GWP),"continuous no-till, 20-year cumulative",conventional till,20 years cumulative,humid temperate; includes ancillary GHG (fuel etc.),-13799,component SEs,soil-derived -11526 SE 3707; ancillary -2273,,,kg CO2-eq ha-1 (cumulative),humid temperate cropland,,,decrease (mitigation),Six et al. (2004) Glob Change Biol 10(2):155-160,10.1111/j.1529-8817.2003.00730.x,management/tillage,Table 2,Humid climate Total GWP 13799; Soil organic C 16296 (SE 88); N2O 5027 (SE 3706); CH4 258 (SE 46),Mitigation is real in humid climates over 20 years. Note N2O (+5027) offsets nearly a third of the SOC gain (-16296).,deferred_ancillary
31,RT-GWP-04,Six_2004_cumulative_dry,Reduced tillage,(net GWP),"continuous no-till, 20-year cumulative",conventional till,20 years cumulative,dry temperate,-4554,standard error on soil-derived term,soil-derived -2281 SE 5815,,,kg CO2-eq ha-1 (cumulative),dry temperate cropland,,,not significantly different from zero,Six et al. (2004) Glob Change Biol 10(2):155-160,10.1111/j.1529-8817.2003.00730.x,management/tillage,Table 2 and Discussion,"Dry climate Total GWP 4554; Soil-derived GWP 2281 (SE 5815). Text: sequestration rates were not enough to compensate for increases in N2O-emissions, resulting in a zero-balanced mean cumulative GWP","CRITICAL: SE (5815) is more than twice the estimate (2281), so the dry-climate soil-derived GWP is NOT distinguishable from zero. Most of California cropland is dry. Do not treat dry-climate no-till as a demonstrated mitigation measure.",deferred_onfarm_ok
32,RT-CH4-01,Six_2004_CH4,Reduced tillage,CH4,no-till,conventional till,"5, 10 and 20 years",,-0.6,standard error,0.1,,,kg CH4 ha-1 yr-1 (uptake),humid and dry temperate,,,increased CH4 uptake,Six et al. (2004) Glob Change Biol 10(2):155-160,10.1111/j.1529-8817.2003.00730.x,management/tillage,Table 1 and text,all found a significant enhancement of CH4 uptake (averaging 0.6 kg ha-1 yr-1) with NT adoption,"FILLS the Reduced tillage / CH4 cell. Small in GWP terms (-13 kg CO2-eq ha-1 yr-1, SE 3.1) and identical in both climates and at all three time horizons, i.e. treated as time-invariant.",contrast
33,FR-N2O-02,Li_2024_deficit_irrigation,Flooding / rice,N2O,deficit irrigation,full irrigation,,water-filled pore space,-62,percent change,,,,percent,global specialty crop systems,,,decrease,Li et al. (2024) Glob Change Biol 30:e17233,10.1111/gcb.17233,management/meta-analyses,Discussion,"Although deficit irrigation reduced soil N2O emissions by 62%, it lowered crop yields by 18% compared to full irrigation","Carries a yield penalty of 18%. Drip irrigation and fertigation reduce N2O MORE than deficit irrigation without lowering yield, so they dominate it as a practice choice.",contrast
34,CC-N2O-03,Li_2024_legume_covercrop,+Cover Crops,N2O,legume cover crops,no cover crop,,,increase,effect size (see Figure 4),,,,percent change,global specialty crop systems,,,increase,Li et al. (2024) Glob Change Biol 30:e17233,10.1111/gcb.17233,management/meta-analyses,"Results, Figure 4","In contrast, legume cover crops increased soil N2O","Third independent source contradicting Table 6's '+Cover Crops -> N2O decrease', and it isolates the mechanism: it is the legume N input that drives the increase.",not_viable
35,NF-N2O-06,Li_2024_EF_by_type,+/- N Fertilization,N2O,inorganic fertilizer,animal manure,,,1.0 vs 0.8,emission factor,,,,percent of N applied,global,,,inorganic higher,Li et al. (2024) Glob Change Biol 30:e17233,10.1111/gcb.17233,management/meta-analyses,Introduction,"With the inorganic fertilizer EF being 1.0% and the animal manure EF being 0.8%, the IPCC rounded up the average to 1.0% as the default EF","Explains the provenance of the IPCC 1% default. Compare with Cayuela's Mediterranean EF of 0.5%, which is half this.",contrast
36,SPEC-N2O-02,Li_2024_global_DISCREPANCY,"(specialty crops, not a Table 6 practice)",N2O,specialty crop systems,n/a,,,1.0 (abstract) vs 1.5 (conclusions),internal inconsistency,,,,Tg N2O-N yr-1,global specialty crop soils,,,n/a,Li et al. (2024) Glob Change Biol 30:e17233,10.1111/gcb.17233,management/meta-analyses,Abstract vs Conclusions,"Abstract: 'estimated global N2O emission from specialty crop soils was 1.0 Tg N2O-N year-1, ranging from 0.5 to 4.5'. Conclusions: 'the estimated global N2O emission of 1.5 Tg N2O-N year-1 from specialty crop soils, accounting for 9.0% of global total N2O emissions'.","THE PAPER DISAGREES WITH ITSELF: 1.0 in the abstract, 1.5 in the conclusions. Resolve against Table S1/S2 before using either figure as a benchmark.",not_viable
37,NF-N2O-07,Liu_2017_ammonium_nitrate,+/- N Fertilization,N2O,ammonium nitrate fertilizer,other chemical N fertilizer types,,,5.97,combined NO+N2O emission factor,,,,percent of N applied,global croplands,,,highest of the fertilizer types,Liu et al. (2017) Glob Change Biol 23(6):2520-2532,10.1111/gcb.13485,management,Abstract,"Among different chemical N fertilizer varieties, ammonium nitrate had the greatest EFNO (2.93%) and EFc (5.97%)","Over twice the global mean EFc of 2.58%. Fertilizer FORM matters as much as rate, which a scenario defined only by N rate cannot capture.",not_viable
38,NF-N2O-08,Liu_2017_inhibitors,+/- N Fertilization,N2O,synthetic N plus nitrification inhibitor,synthetic N alone,,,-81,percent change in soil NO,,,,percent,global soils,,,decrease,Liu et al. (2017) Glob Change Biol 23(6):2520-2532,10.1111/gcb.13485,management,Abstract,synthetic N fertilizer combined with nitrification inhibitors substantially reduced soil NO emissions by 81%,"Applies to NO, not N2O alone. Largest single mitigation effect in the extracted set.",not_viable
39,NF-N2O-09,Liu_2017_source_type,+/- N Fertilization,N2O,synthetic N fertilizer,organic and mixed N sources,,,+38 (synthetic) vs +20 (organic) vs +18 (mixed),percent enhancement of soil NO,,,,percent,global soils,,,synthetic highest,Liu et al. (2017) Glob Change Biol 23(6):2520-2532,10.1111/gcb.13485,management,Abstract,"Soil NO emissions were more enhanced by synthetic N fertilizer (+38%), relative to organic (+20%) or mixed N (+18%) sources",Consistent in direction with Li et al. 2024's inorganic 1.0% vs manure 0.8% EF split.,not_viable
40,NF-N2O-10,Cayuela_2017_rainfed_irrigated,+/- N Fertilization,N2O,rain-fed cropping,irrigated cropping,,,0.27 vs 0.63,emission factor,,,,percent of N applied,Mediterranean cropping systems,,,rain-fed lower,Cayuela et al. (2017) Agric Ecosyst Environ 238:25-35,10.1016/j.agee.2016.10.006,management/meta-analyses,Abstract,Rain-fed crops in Mediterranean regions have lower EFs (EF: 0.27%) than irrigated crops (EF: 0.63%),"Irrigation more than doubles the EF. Directly relevant to California, where most cropland is irrigated.",contrast
41,NF-N2O-11,Cayuela_2017_highN,+/- N Fertilization,N2O,N applied above 400 kg N ha-1,lower N rates and the IPCC 1% default,,,0.82,emission factor,,,,percent of N applied,Mediterranean cropping systems,,,increase with rate,Cayuela et al. (2017) Agric Ecosyst Environ 238:25-35,10.1016/j.agee.2016.10.006,management/meta-analyses,Abstract,"when N was applied at rates greater than 400 kg N ha-1, the EF did not significantly differ from the 1% default value (EF: 0.82%)","The Mediterranean EF advantage disappears at high N rates. A statewide comparison must condition on N rate, not just apply 0.5% everywhere.",absolute_reference
42,NF-N2O-12,Cayuela_2017_croptype,+/- N Fertilization,N2O,"winter cereals (wheat, oat, barley)",maize,,,0.26 vs 0.83,emission factor,,,,percent of N applied,Mediterranean cropping systems,,,extensive crops lower,Cayuela et al. (2017) Agric Ecosyst Environ 238:25-35,10.1016/j.agee.2016.10.006,management/meta-analyses,Abstract,"Extensive crops, such as winter cereals (wheat, oat and barley), had lower EFs (EF: 0.26%) than intensive crops such as maize (EF: 0.83%)",A threefold spread by crop type within one climate. Crop mix matters for a statewide N2O total.,contrast
43,CC-SOC-04,Poeplau_Don_2015_global,+Cover Crops,Soil C,global adoption of cover crops,current cropland,,,0.12,uncertainty,0.03,0.09,0.15,Pg C yr-1,global cropland,,,increase,Poeplau & Don (2015) Agric Ecosyst Environ 200:33-41,10.1016/j.agee.2014.10.024,management/meta-analyses,Abstract,"We estimated a potential global SOC sequestration of 0.12 +/- 0.03 Pg C yr-1, which would compensate for 8% of the direct annual greenhouse gas emissions from agriculture","Scale reference for an absolute-inventory comparison. Authors caution that altered N2O and albedo are NOT included, and the three cover-crop/N2O sources here suggest that omission is not conservative.",not_viable
44,NF-N2O-13,IPCC_2019_no_pdf,+/- N Fertilization,N2O,n/a,n/a,,,NOT EXTRACTED,n/a,,,,n/a,global default emission factors,,,n/a,"IPCC (2019) Refinement to the 2006 IPCC Guidelines, Volume 4, Chapter 11",,(uncollected),n/a,,"BLOCKED: the Zotero record is metadata-only with NO PDF attachment, so the EF tables cannot be extracted from the library. The 1% default is documented second-hand via Li et al. 2024. Obtain the chapter to extract EF1, EF1FR and the disaggregated factors.",not_viable
45,NF-N2O-14,IPCC_2019_EF1_aggregated,+/- N Fertilization,N2O,"N addition: synthetic fertiliser, organic amendment, crop residue, mineralised soil N",no N addition,,,0.010,uncertainty range,0.002 to 0.018,0.002,0.018,kg N2O-N per kg N applied,"global, all climates",,,increase,"IPCC (2019) Refinement to the 2006 IPCC Guidelines, Vol 4 Ch 11, Table 11.1 (Updated)",,(uncollected),"Table 11.1 (Updated), p 11.13","EF1 for N additions ... Default value 0.010, uncertainty range 0.002-0.018",The aggregated default. Superseded for California by the dry-climate value below; use that one.,absolute_reference
46,NF-N2O-15,IPCC_2019_EF1_dry,+/- N Fertilization,N2O,"all N inputs, dry climates",no N addition,,"dry = precipitation:PET < 1 in temperate/boreal, or annual precip < 1000 mm in tropics",0.005,uncertainty range,0.000 to 0.011,0.000,0.011,kg N2O-N per kg N applied,dry climates,,,increase,"IPCC (2019) Refinement to the 2006 IPCC Guidelines, Vol 4 Ch 11, Table 11.1 (Updated)",,(uncollected),"Table 11.1 (Updated), disaggregated by climate, p 11.13","All N inputs in dry climates: 0.005, uncertainty 0.000-0.011","THE California-relevant factor, and half the aggregated default. Independently corroborates Cayuela et al. 2017, whose Mediterranean EF of 0.5% is the same number from a different dataset. Two lines of evidence agreeing that the 1% default overestimates here.",absolute_reference
47,NF-N2O-16,IPCC_2019_EF1_wet_synthetic,+/- N Fertilization,N2O,"synthetic fertiliser, wet climates",no N addition,,,0.016,uncertainty range,0.013 to 0.019,0.013,0.019,kg N2O-N per kg N applied,wet climates,,,increase,"IPCC (2019) Refinement to the 2006 IPCC Guidelines, Vol 4 Ch 11, Table 11.1 (Updated)",,(uncollected),"Table 11.1 (Updated), p 11.13","Synthetic fertiliser inputs in wet climates: 0.016, uncertainty 0.013-0.019","Contrast row only. Wet-climate synthetic N is three times the dry-climate factor, which is why applying an aggregated EF statewide is misleading.",absolute_reference
