row_id,parent_evidence_id,metric_id,practice,outcome,target_type,current_target,effect_scale,value_norm,value_units,lrr,original_mean,original_units,note,val_unc_type,val_unc_value,val_unc_units,val_unc_applies_to,val_unc_derivation,se_on_analysis_scale,lrr_se,lrr_se_derivation,reported_statistic_name,reported_statistic,reported_lower,reported_upper,conversion_note
VanKessel_2013_dry_short,VanKessel_2013_dry_short,,Reduced tillage,N2O,contrast,TRUE,relative,,,0.322,+57,percent,"dry climate, short term no till",SE,0.124,LRR (dimensionless),"the LRR of NT/RT vs CT, area-scaled N2O",digitised_from_figure_CI95,0.124,0.124,digitised_from_figure_CI95,"significant change, yield-scaled",,,,"replaced the abstract's yield-scaled figure with the area-scaled value digitised from van Kessel Fig 2a (`data_processing` tab row 13). Fig 1a and 2a are area-scaled N2O, Fig 1c and 2c are yield-scaled; area-scaled is what the model produces, so the quantity has changed as well as the precision. n = 40 comparisons from 7 studies. dry climate, under 10 years since initiation. Model runs compared against this should be matched to that window, roughly 5 years after initiation."
VanKessel_2013_dry_long,VanKessel_2013_dry_long,,Reduced tillage,N2O,contrast,DEFER,relative,,,-0.419,-27,percent,"dry climate, long term no till; sign flips vs short term",SE,0.132,LRR (dimensionless),"the LRR of NT/RT vs CT, area-scaled N2O",digitised_from_figure_CI95,0.132,0.132,digitised_from_figure_CI95,"significant change, yield-scaled",,,,"replaced the abstract's yield-scaled figure with the area-scaled value digitised from van Kessel Fig 2a (`data_processing` tab row 14). Fig 1a and 2a are area-scaled N2O, Fig 1c and 2c are yield-scaled; area-scaled is what the model produces, so the quantity has changed as well as the precision. n = 16 comparisons from 2 studies. dry climate, 10 years or more since initiation. Match to roughly 15 years after initiation. Only 2 studies behind it."
VanKessel_2013_overall,VanKessel_2013_overall,,Reduced tillage,N2O,contrast,DEFER,relative,,,0.003,no significant change,area-scaled N2O,"null result, no significant change; informative as an effect near zero but no interval given",SE,0.054,LRR (dimensionless),"the LRR of NT/RT vs CT, area-scaled N2O",digitised_from_figure_CI95,0.054,0.054,digitised_from_figure_CI95,meta-analysis mean,,,,"replaced the abstract's yield-scaled figure with the area-scaled value digitised from van Kessel Fig 1a (`data_processing` tab row 5). Fig 1a and 2a are area-scaled N2O, Fig 1c and 2c are yield-scaled; area-scaled is what the model produces, so the quantity has changed as well as the precision. n = 239 comparisons from 41 studies. previously blank after removing an lrr of 0.0 taken from 'no significant change'. The figure gives an actual estimate with an interval, so the null result is now quantified rather than assumed."
Li_2023_NTRT,Li_2023_NTRT,,Reduced tillage,N2O,contrast,,relative,,,-0.116534,-11,percent,95 pct CI -19 to -1 pct converted to LRR then SE; one of the few rows with a real interval,SE,0.051193,LRR (dimensionless),the LRR of NT/RT vs CT N2O,derived_from_CI95,0.051193,0.051193,derived_from_CI95,95% confidence interval,-19 to -1,-19,-1,"source reports 95% CI -19 to -1 percent. Bounds converted to LRR first, then SE = (upper - lower)/3.92. Approximate, assumes normality and symmetry on the log scale. Reported percent and bounds preserved."
Li_2024_deficit_irrigation,Li_2024_deficit_irrigation,SPEC-N2O-03,"(specialty crops, not a Table 6 practice)",N2O,contrast,,relative,,,-0.967584,-62,percent,,none,,,,not_derivable,,,not_derivable,percent change,,,,"Reclassified out of Flooding / rice 2026-09-15. The comparator is 'full irrigation', so this is deficit versus full irrigation in specialty crops, not flooding or rewetting. Consistent with the other two rows from the same paper already classed outside Table 6. Pending David confirmation; reversible by restoring practice_table6 to 'Flooding / rice' and metric_id to FR-N2O-02."
Jiang_2019_N2O_tradeoff,Jiang_2019_N2O_tradeoff,,Flooding / rice,N2O,contrast,,relative,,,0.71784,+105,percent,,none,,,,not_derivable,,,not_derivable,percent change,,,,
Basche_2014_split,Basche_2014_split,,+Cover Crops,N2O,not_viable,FALSE,relative,,,,60% of observations positive LRR / 40% negative,dimensionless LRR,"reports share of observations positive, a vote count not an effect size",none,,,,not_derivable,,,,log response ratio (LRR),,,,
Li_2023_covercrops,Li_2023_covercrops,,+Cover Crops,N2O,not_viable,FALSE,relative,,,,variable,percent change,"reported as variable, no magnitude",none,,,,not_derivable,,,,meta-forest,,,,
Li_2024_legume_covercrop,Li_2024_legume_covercrop,,+Cover Crops,N2O,not_viable,FALSE,relative,,,,increase,percent change,"direction only, effect size is in a figure",none,,,,not_derivable,,,,effect size (see Figure 4),,,,
Liu_2017_inhibitors,Liu_2017_inhibitors,,+/- N Fertilization,N2O,not_viable,FALSE,relative,,,-1.660731,-81,percent,"WRONG OUTCOME: this is soil NO, not N2O",none,,,,not_derivable,,,not_derivable,percent change in soil NO,,,,
Liu_2017_source_type,Liu_2017_source_type,,+/- N Fertilization,N2O,not_viable,FALSE,relative,,,,+38 (synthetic) vs +20 (organic) vs +18 (mixed),percent,"WRONG OUTCOME: percent enhancement of soil NO, and two values in one cell",none,,,,not_derivable,,,,percent enhancement of soil NO,,,,
Li_2024_specialty_global,Li_2024_specialty_global,,"(specialty crops, not a Table 6 practice)",N2O,not_viable,FALSE,total,1,Tg N2O-N yr-1,,1.0,Tg N2O-N yr-1,"global Tg N2O-N yr-1 with no area attached, so nothing for the model to be scored against; viable only if the source reports specialty crop area",none,,,,not_derivable,,,,range,0.5 to 4.5,0.5,4.5,
Li_2024_global_DISCREPANCY,Li_2024_global_DISCREPANCY,,"(specialty crops, not a Table 6 practice)",N2O,not_viable,FALSE,total,,Tg N2O-N yr-1,,1.0 (abstract) vs 1.5 (conclusions),Tg N2O-N yr-1,"source contradicts itself, 1.0 in abstract vs 1.5 in conclusions",none,,,,not_derivable,,,,internal inconsistency,,,,
Snyder_2009_notill_N2O.notill,Snyder_2009_notill_N2O,,Reduced tillage,N2O,contrast,,flux,0.68,kg N2O-N ha-1 yr-1,-0.334369,0.68 vs 0.95,kg N2O-N ha-1 yr-1,"split: no till vs conventional, both arms given so LRR derivable; SD is on the no till arm",SD,0.57,kg N2O-N ha-1 yr-1,"the no-till ARM mean flux, variation among lands; NOT the uncertainty of the LRR",reported_as_is,,,not_derivable,standard deviation,0.57 (no-till); 0.98 (tilled),,,"was previously placed alongside the LRR, implying it was the LRR's uncertainty. It is not. var(lnR) needs n per arm, which this inventory estimate does not report, so no SE of the LRR is derivable. Arm SDs overlap heavily (0.68 +/- 0.57 vs 0.95 +/- 0.98)."
Snyder_2009_notill_N2O.conv,Snyder_2009_notill_N2O,,Reduced tillage,N2O,contrast,,flux,0.95,kg N2O-N ha-1 yr-1,,0.68 vs 0.95,kg N2O-N ha-1 yr-1,split: conventional comparator arm,SD,0.98,kg N2O-N ha-1 yr-1,"the conventional-till ARM mean flux, variation among lands",reported_as_is,,,,standard deviation,0.57 (no-till); 0.98 (tilled),,,"comparator arm SD, recorded so both arms carry their own dispersion."
Bouwman_2002_controls,Bouwman_2002_controls,,+/- N Fertilization,N2O,not_viable,,,,,,no single EF reported,n/a,"summary of controlling factors, no single EF reported",none,,,,not_derivable,,,,summary of controls,,,,
Ma_2021_straw_N2O,Ma_2021_straw_N2O,,+Non-crop C,N2O,not_viable,,,,,,all straw treatments below control,soil N2O emission,"ranking only, no magnitude",none,,,,not_derivable,,,,ranking,CK > SM > S > SI > SB,,,
IPCC_2019_no_pdf,IPCC_2019_no_pdf,,+/- N Fertilization,N2O,not_viable,,,,,,NOT EXTRACTED,n/a,"not extracted, no PDF in the library",none,,,,not_derivable,,,,n/a,,,,
Six_2004_CH4,Six_2004_CH4,,Reduced tillage,CH4,contrast,,flux,-0.6,kg CH4 ha-1 yr-1,,-0.6,kg CH4 ha-1 yr-1 (uptake),"no till vs conventional, increased CH4 uptake; the only CH4 row with a reported SE",SE,0.1,kg CH4 ha-1 yr-1,the mean CH4 uptake enhancement under NT,reported_as_is,0.1,,,standard error,0.1,,,confirmed SE: table caption states 'SE = standard error'.
Jiang_2019_CH4,Jiang_2019_CH4,,Flooding / rice,CH4,contrast,,relative,,,-0.755023,-53,percent,"intermittent vs continuous flooding SUPERSEDED 2026-09-17: the -53 percent headline carries no dispersion, which is why a blanket spread was used. Table 2 gives the same effect stratified by number of drying events WITH confidence intervals, so those rows replace it. Retained as contributing evidence.",none,,,,not_derivable,,,not_derivable,percent change,,,,
Robertson_2000_CH4_oxidation,Robertson_2000_CH4_oxidation,,Annual -> Perennial,CH4,not_viable,,,,,,GWP neutral via CH4 oxidation,g CO2 equivalents m-2 yr-1,"stated as GWP neutral via CH4 oxidation, no CH4 magnitude given",none,,,,not_derivable,,,,net GWP,,,,
Ma_2021_straw_CH4,Ma_2021_straw_CH4,,+Non-crop C,CH4,not_viable,,,,,,"tracks the CO2 response: down under biochar, up under straw+inoculant and straw",soil CH4 emission,"qualitative, direction varies by straw form",none,,,,not_derivable,,,,qualitative,,,,
Conrad_2007_excluded,Conrad_2007_excluded,,Flooding / rice,CH4,not_viable,,,,,,no quantitative synthesis reported,n/a,no quantitative synthesis reported in the source,none,,,,not_derivable,,,,n/a,,,,
Snyder_2009_Nfert_CH4,Snyder_2009_Nfert_CH4,,+/- N Fertilization,CH4,not_viable,,,,,,qualitative,n/a,"direction only, reduced CH4 uptake",none,,,,not_derivable,,,,direction only,,,,
Sun_2020_notill_SOC_CAanalog,Sun_2020_notill_SOC_CAanalog,RT-SOC-02,Reduced tillage,Soil C,contrast,,rate,0.2162,Mg C ha-1 yr-1,0.055534,0.2162,Mg C ha-1 yr-1,"no-till vs conventional till, 0-30 cm, annualised stock difference",SD,0.4478,Mg C ha-1 yr-1,"population, among the 23 sites; NOT the precision of the mean",computed_from_source_table,0.093381,0.020085,sd of site LRRs / sqrt(23),"derived, not reported",0.4478,,,"Derived from Sun et al. 2020 Table S1 by the script given in issue #11, run unmodified. Filter: MAT 10-20 C and MAP/MAT < 40, giving a Mediterranean to semi-arid envelope of MAT 12.5-20 C and MAP 355-690 mm, which brackets Central Valley conditions. 62 no-till versus conventional-till comparisons at 23 named sites, each site weighted equally after averaging its own comparisons. SE on the mean is 0.0934 Mg C ha-1 yr-1; the SD above is the among site spread. Mean LRR 0.0555, +5.7 percent."
Bai_2023_OA_SOC,Bai_2023_OA_SOC,NC-SOC-02,+Non-crop C,Soil C,contrast,,ratio,0.23823,LRR (dimensionless),0.23823,26.9,percent change in SOC,"organic amendment vs unamended control, global synthesis",CI95_halfwidth,0.7,percent,"the mean percent change across 1972 comparisons; precision of the mean, NOT among site variability",reported_as_is,0.002814,0.002814,(ln(1.276)-ln(1.262))/3.92,95% confidence interval,0.7,26.2,27.6,"Percent change converted to LRR as ln(1+pct/100). SE is very small because n=1972 comparisons, so this pins the mean tightly and says nothing about how much individual sites vary. Bai also reports the effect as a stock change of 5.1 +/- 0.4 Mg C ha-1; that is a STOCK, whereas the superseded Vicente-Vicente value was a RATE in Mg C ha-1 yr-1, and the two must not be interchanged."
Shcherbak_2014_dEFdN,Shcherbak_2014_dEFdN,NF-N2O-02,+/- N Fertilization,N2O,dose_response,,slope,0.0027,kg N2O-N per kg N per ha,,0.0027,kg N2O-N per kg N per ha,rate of change of the N2O emission factor with fertilizer N rate,CI95_halfwidth,0.00165,kg N2O-N per kg N per ha,the mean dEF/dN across 233 site-years,computed_from_reported_CI,0.000842,,,95% confidence interval,0.0011 to 0.0044,0.0011,0.0044,"NOT A TWO ARM CONTRAST. This is the slope of the emission factor against N rate in the model Emis = (EF0 + dEF x N) x N, so the matching model quantity is how fast modelled N2O rises with N rate, not a ratio between two treatments. Crop specific slopes: upland grains 0.0017, rice 0.001, N fixing crops 0.018. For upland grains the fitted model is Emis = (6.49 + 0.0187 N) x N in g N2O-N per ha."
Jiang_2019_CH4_dry1,Jiang_2019_CH4_dry1,FR-CH4-dry1,Flooding / rice,CH4,contrast,,ratio,-0.39899,LRR (dimensionless),-0.39899,-32.9,percent change in CH4,"1 drying event, n=43 observations",CI95_halfwidth,0.27389,LRR,"the mean LRR of non-continuous vs continuous flooding, CH4",computed_from_reported_CI,0.13974,0.13974,(ln(1+hi/100)-ln(1+lo/100))/3.92,95% confidence interval,-49.0 to -11.8,-49.0,-11.8,"Table 2. Percent change converted to LRR as ln(1+pct/100); the CI bounds converted the same way. Replaces the assumed blanket SE of 0.707 with a reported one of 0.140, about five times narrower."
Jiang_2019_CH4_dry2,Jiang_2019_CH4_dry2,FR-CH4-dry2,Flooding / rice,CH4,contrast,,ratio,-0.62549,LRR (dimensionless),-0.62549,-46.5,percent change in CH4,"2 drying events, n=22 observations",CI95_halfwidth,0.33335,LRR,"the mean LRR of non-continuous vs continuous flooding, CH4",computed_from_reported_CI,0.17007,0.17007,(ln(1+hi/100)-ln(1+lo/100))/3.92,95% confidence interval,-61.7 to -25.4,-61.7,-25.4,"Table 2. Percent change converted to LRR as ln(1+pct/100); the CI bounds converted the same way. Replaces the assumed blanket SE of 0.707 with a reported one of 0.170, about five times narrower."
