metric_cell,practice,outcome,subclass,n_contrast_rows,selected_row_id,selected_value,selected_units,selected_spread,use,contributing_rows_unaggregated,model_direction,model_effect,agreement,note,assessment_ids
+/- N Fertilization x N2O,+/- N Fertilization,N2O,all crops (aggregate),9,Shcherbak_2014_dEFdN,0.0027,percentage points of EF per kg N ha-1,0.00085,likelihood,Shcherbak_2014_dEFdN=0.0027 percentage points of EF per kg N ha-1 (reported SEM 0.00085; overlapping aggregate/subgroups are alternatives),,,,"All-crop mean with four outliers retained: n=233, SEM=0.00085 (Table S3). The outlier-excluded variant is 0.0024, SEM 0.00053, n=229. Use a crop-matched group instead of this aggregate for a single-crop panel. Dataset S1 lacks enough crop labels to reproduce subgroup statistics.",nf_slope_all_crops_aggregate;nf_slope_upland_grains;nf_slope_rice;nf_slope_perennial_grass_or_forage;nf_slope_N_fixing_crops;nf_slope_non_N_fixing_crops;nf_level
+/- N Fertilization x N2O,+/- N Fertilization,N2O,upland grains,9,Shcherbak_2014_dEFdN_upland_grains,0.0017,percentage points of EF per kg N ha-1,0.00056,likelihood,Shcherbak_2014_dEFdN_upland_grains=0.0017 percentage points of EF per kg N ha-1 (reported SEM 0.00056; overlapping aggregate/subgroups are alternatives),,,,"Published Table S3 crop-group mean and SEM. Prefer non-N-fixing versus N-fixing groups for a mixed panel. Nonsignificant differences among finer groups do not establish equivalence. Aggregate and subgroup estimates overlap: select one applicable group, not multiple independent constraints. Dataset S1 lacks enough crop labels to reconstruct these statistics.",nf_slope_all_crops_aggregate;nf_slope_upland_grains;nf_slope_rice;nf_slope_perennial_grass_or_forage;nf_slope_N_fixing_crops;nf_slope_non_N_fixing_crops;nf_level
+/- N Fertilization x N2O,+/- N Fertilization,N2O,rice,9,Shcherbak_2014_dEFdN_rice,0.0009,percentage points of EF per kg N ha-1,0.00028,likelihood,Shcherbak_2014_dEFdN_rice=0.0009 percentage points of EF per kg N ha-1 (reported SEM 0.00028; overlapping aggregate/subgroups are alternatives),,,,"Published Table S3 crop-group mean and SEM. Prefer non-N-fixing versus N-fixing groups for a mixed panel. Nonsignificant differences among finer groups do not establish equivalence. Aggregate and subgroup estimates overlap: select one applicable group, not multiple independent constraints. Dataset S1 lacks enough crop labels to reconstruct these statistics.",nf_slope_all_crops_aggregate;nf_slope_upland_grains;nf_slope_rice;nf_slope_perennial_grass_or_forage;nf_slope_N_fixing_crops;nf_slope_non_N_fixing_crops;nf_level
+/- N Fertilization x N2O,+/- N Fertilization,N2O,perennial grass or forage,9,Shcherbak_2014_dEFdN_perennial_grass_or_forage,0.0033,percentage points of EF per kg N ha-1,0.00126,likelihood,Shcherbak_2014_dEFdN_perennial_grass_or_forage=0.0033 percentage points of EF per kg N ha-1 (reported SEM 0.00126; overlapping aggregate/subgroups are alternatives),,,,"Published Table S3 crop-group mean and SEM. Prefer non-N-fixing versus N-fixing groups for a mixed panel. Nonsignificant differences among finer groups do not establish equivalence. Aggregate and subgroup estimates overlap: select one applicable group, not multiple independent constraints. Dataset S1 lacks enough crop labels to reconstruct these statistics.",nf_slope_all_crops_aggregate;nf_slope_upland_grains;nf_slope_rice;nf_slope_perennial_grass_or_forage;nf_slope_N_fixing_crops;nf_slope_non_N_fixing_crops;nf_level
+/- N Fertilization x N2O,+/- N Fertilization,N2O,N fixing crops,9,Shcherbak_2014_dEFdN_N_fixing_crops,0.0181,percentage points of EF per kg N ha-1,0.00497,likelihood,Shcherbak_2014_dEFdN_N_fixing_crops=0.0181 percentage points of EF per kg N ha-1 (reported SEM 0.00497; overlapping aggregate/subgroups are alternatives),,,,"Published Table S3 crop-group mean and SEM. Prefer non-N-fixing versus N-fixing groups for a mixed panel. Nonsignificant differences among finer groups do not establish equivalence. Aggregate and subgroup estimates overlap: select one applicable group, not multiple independent constraints. Dataset S1 lacks enough crop labels to reconstruct these statistics.",nf_slope_all_crops_aggregate;nf_slope_upland_grains;nf_slope_rice;nf_slope_perennial_grass_or_forage;nf_slope_N_fixing_crops;nf_slope_non_N_fixing_crops;nf_level
Flooding / rice x CH4,Flooding / rice,CH4,1 drying event,3,Jiang_2019_CH4_dry1,-0.39899,LRR (dimensionless),0.13974,likelihood,"Jiang_2019_CH4_dry1=-0.39899 (se 0.13974, n=43); Jiang_2019_CH4_dry2=-0.62549 (se 0.17007, n=22); Jiang_2019_CH4=-0.755 (headline, no dispersion)",,,,"Jiang Table 2, matched drying-event class with reported 95% CI. The combined >=2 class overlaps the individual classes: choose the matching class or the aggregate, never count both as independent evidence.",rice_ch4_dry1;rice_ch4_dry2;rice_ch4_dry3;rice_ch4_dry_gt3;rice_ch4_dry_ge2
Flooding / rice x CH4,Flooding / rice,CH4,2 drying events,3,Jiang_2019_CH4_dry2,-0.62549,LRR (dimensionless),0.17007,likelihood,"Jiang_2019_CH4_dry1=-0.39899 (se 0.13974, n=43); Jiang_2019_CH4_dry2=-0.62549 (se 0.17007, n=22); Jiang_2019_CH4=-0.755 (headline, no dispersion)",,,,"Jiang Table 2, matched drying-event class with reported 95% CI. The combined >=2 class overlaps the individual classes: choose the matching class or the aggregate, never count both as independent evidence.",rice_ch4_dry1;rice_ch4_dry2;rice_ch4_dry3;rice_ch4_dry_gt3;rice_ch4_dry_ge2
Flooding / rice x CH4,Flooding / rice,CH4,3 drying events,3,Jiang_2019_CH4_dry3,-1.33181,LRR (dimensionless),0.18160,likelihood,"Jiang_2019_CH4_dry1=-0.39899 (se 0.13974, n=43); Jiang_2019_CH4_dry2=-0.62549 (se 0.17007, n=22); Jiang_2019_CH4=-0.755 (headline, no dispersion)",,,,"Jiang Table 2, matched drying-event class with reported 95% CI. The combined >=2 class overlaps the individual classes: choose the matching class or the aggregate, never count both as independent evidence.",rice_ch4_dry1;rice_ch4_dry2;rice_ch4_dry3;rice_ch4_dry_gt3;rice_ch4_dry_ge2
Flooding / rice x CH4,Flooding / rice,CH4,more than 3 drying events,3,Jiang_2019_CH4_dry_gt3,-1.39433,LRR (dimensionless),0.16955,likelihood,"Jiang_2019_CH4_dry1=-0.39899 (se 0.13974, n=43); Jiang_2019_CH4_dry2=-0.62549 (se 0.17007, n=22); Jiang_2019_CH4=-0.755 (headline, no dispersion)",,,,"Jiang Table 2, matched drying-event class with reported 95% CI. The combined >=2 class overlaps the individual classes: choose the matching class or the aggregate, never count both as independent evidence.",rice_ch4_dry1;rice_ch4_dry2;rice_ch4_dry3;rice_ch4_dry_gt3;rice_ch4_dry_ge2
Flooding / rice x CH4,Flooding / rice,CH4,2 or more drying events,3,Jiang_2019_CH4_dry_ge2,-1.00512,LRR (dimensionless),0.11737,likelihood,"Jiang_2019_CH4_dry1=-0.39899 (se 0.13974, n=43); Jiang_2019_CH4_dry2=-0.62549 (se 0.17007, n=22); Jiang_2019_CH4=-0.755 (headline, no dispersion)",,,,"Jiang Table 2, matched drying-event class with reported 95% CI. The combined >=2 class overlaps the individual classes: choose the matching class or the aggregate, never count both as independent evidence.",rice_ch4_dry1;rice_ch4_dry2;rice_ch4_dry3;rice_ch4_dry_gt3;rice_ch4_dry_ge2
+/- N Fertilization x N2O,+/- N Fertilization,N2O,non N fixing crops,9,Shcherbak_2014_dEFdN_non_N_fixing_crops,0.0018,percentage points of EF per kg N ha-1,0.00048,likelihood,Shcherbak_2014_dEFdN_non_N_fixing_crops=0.0018 percentage points of EF per kg N ha-1 (reported SEM 0.00048; overlapping aggregate/subgroups are alternatives),,,,"Published Table S3 crop-group mean and SEM. Prefer non-N-fixing versus N-fixing groups for a mixed panel. Nonsignificant differences among finer groups do not establish equivalence. Aggregate and subgroup estimates overlap: select one applicable group, not multiple independent constraints. Dataset S1 lacks enough crop labels to reconstruct these statistics.",nf_slope_all_crops_aggregate;nf_slope_upland_grains;nf_slope_rice;nf_slope_perennial_grass_or_forage;nf_slope_N_fixing_crops;nf_slope_non_N_fixing_crops;nf_level
+/- N Fertilization x N2O,+/- N Fertilization,N2O,"EF level, Mediterranean",9,Cayuela_2017_EFmed_target,0.5,percent of N applied,0.06122,likelihood,"Cayuela_2017_EFmed_target=0.5 percent of N applied (SE 0.06122); EF level, not an EF slope",,,,"EF level target, added 2026-09-18 per David: the level and the slope test different things, whether the modelled EF magnitude is reasonable for Mediterranean agriculture, and whether EF rises with N rate at the right rate. Cayuela et al. 2017 give EFMed 0.50 percent with a 95% CI half width of 0.12 over N=200 observations, so SE is 0.0612 percentage points. Mediterranean climate makes this the closest measured analogue to California. Read alongside the Shcherbak subclasses, not instead of them: this constrains the level, they constrain the slope.",nf_slope_all_crops_aggregate;nf_slope_upland_grains;nf_slope_rice;nf_slope_perennial_grass_or_forage;nf_slope_N_fixing_crops;nf_slope_non_N_fixing_crops;nf_level
