citation_id,doi,reference,url,citation_type,access_path,notes
ref_10_1002_2015jg003247,10.1002/2015JG003247,"Knox, S. H., J. H. Matthes, C. Sturtevant, P. Y. Oikawa, J. Verfaillie, and D. Baldocchi. (2016) Biophysical controls on interannual variability in ecosystem-scale CO2 and CH4 exchange in a California rice paddy., Journal of Geophysical Research-Biogeosciences, 121(6), 978-1001",https://doi.org/10.1002/2015JG003247,reference_paper,NA,site_id=US-Twt; reference_usage=Reference
ref_10_1007_s10546_017_0275_9,10.1007/S10546-017-0275-9,"Chamberlain, S. D., Verfaillie, J., Eichelmann, E., Hemes, K. S., Baldocchi, D. D. (2017) Evaluation Of Density Corrections To Methane Fluxes Measured By Open-Path Eddy Covariance Over Contrasting Landscapes, Boundary-Layer Meteorology, 223(6), 181-193",https://doi.org/10.1007/S10546-017-0275-9,reference_paper,NA,site_id=US-Twt; reference_usage=Reference
ref_10_1016_j_agrformet_2016_04_001,10.1016/J.AGRFORMET.2016.04.001,"Baldocchi, D., S. Knox, I. Dronova, J. Verfaillie, P. Oikawa, C. Sturtevant, J. H. Matthes, and M. Detto. (2016) The impact of expanding flooded land area on the annual evaporation of rice. Agricultural and Forest Meteorology, Agricultural and Forest Meteorology, 223(6), 181-193",https://doi.org/10.1016/J.AGRFORMET.2016.04.001,reference_paper,NA,site_id=US-Twt; reference_usage=Reference
ref_10_1016_j_agrformet_2018_03_007,10.1016/J.AGRFORMET.2018.03.007,"Eichelmann, E., Hemes, K. S., Knox, S. H., Oikawa, P. Y., Chamberlain, S. D., Sturtevant, C., Verfaillie, J., Baldocchi, D. D. (2018) The Effect Of Land Cover Type And Structure On Evapotranspiration From Agricultural And Wetland Sites In The Sacramento–San Joaquin River Delta, California, Agricultural And Forest Meteorology, 256-257(6), 179-195",https://doi.org/10.1016/J.AGRFORMET.2018.03.007,reference_paper,NA,site_id=US-Twt; reference_usage=Reference
ref_10_1016_j_agrformet_2021_108350,10.1016/J.AGRFORMET.2021.108350,"Chu, H., Luo, X., Ouyang, Z., Chan, W. S., Dengel, S., Biraud, S. C., Torn, M. S., Metzger, S., Kumar, J., Arain, M. A., Arkebauer, T. J., Baldocchi, D., Bernacchi, C., Billesbach, D., Black, T. A., Blanken, P. D., Bohrer, G., Bracho, R., Brown, S., Brunsell, N. A., Chen, J., Chen, X., Clark, K., Desai, A. R., Duman, T., Durden, D., Fares, S., Forbrich, I., Gamon, J. A., Gough, C. M., Griffis, T., Helbig, M., Hollinger, D., Humphreys, E., Ikawa, H., Iwata, H., Ju, Y., Knowles, J. F., Knox, S. H., Kobayashi, H., Kolb, T., Law, B., Lee, X., Litvak, M., Liu, H., Munger, J. W., Noormets, A., Novick, K., Oberbauer, S. F., Oechel, W., Oikawa, P., Papuga, S. A., Pendall, E., Prajapati, P., Prueger, J., Quinton, W. L., Richardson, A. D., Russell, E. S., Scott, R. L., Starr, G., Staebler, R., Stoy, P. C., Stuart-Haëntjens, E., Sonnentag, O., Sullivan, R. C., Suyker, A., Ueyama, M., Vargas, R., Wood, J. D., Zona, D. (2021) Representativeness Of Eddy-Covariance Flux Footprints For Areas Surrounding Ameriflux Sites, Agricultural And Forest Meteorology, 301-302(), 108350",https://doi.org/10.1016/J.AGRFORMET.2021.108350,reference_paper,NA,site_id=US-Bi1; reference_usage=Reference | site_id=US-Bi2; reference_usage=Reference
ref_10_1016_j_jenvman_2021_113562,10.1016/j.jenvman.2021.113562,"Kasak, K., Espenberg, M., Anthony, T. L., Tringe, S. G., Valach, A. C., Hemes, K. S., Silver, W. L., Mander, U., Kill, K., McNicol, G., Szutu, D., Verfaillie, J., Baldocchi, D. D. (2021) Restoring wetlands on intensive agricultural lands modifies nitrogen cycling microbial communities and reduces N2O production potential, Journal of Environmental Management, 299, 113562",https://doi.org/10.1016/j.jenvman.2021.113562,reference_paper,NA,Exact-site Bouldin corn management and August 2018 soil chemistry used for calval curation.
ref_10_1029_2012gl051303,10.1029/2012GL051303,"Hatala, J. A., Detto, M., Baldocchi, D. D. (2012) Gross Ecosystem Photosynthesis Causes A Diurnal Pattern In Methane Emission From Rice, Geophysical Research Letters, 39(6), n/a-n/a",https://doi.org/10.1029/2012GL051303,reference_paper,NA,site_id=US-Twt; reference_usage=Reference
ref_10_1029_2018gl079306,10.1029/2018GL079306,"Chu, H., Baldocchi, D. D., Poindexter, C., Abraha, M., Desai, A. R., Bohrer, G., Arain, M. A., Griffis, T., Blanken, P. D., O'Halloran, T. L., Thomas, R. Q., Zhang, Q., Burns, S. P., Frank, J. M., Christian, D., Brown, S., Black, T. A., Gough, C. M., Law, B. E., Lee, X., Chen, J., Reed, D. E., Massman, W. J., Clark, K., Hatfield, J., Prueger, J., Bracho, R., Baker, J. M., Martin, T. A. (2018) Temporal Dynamics Of Aerodynamic Canopy Height Derived From Eddy Covariance Momentum Flux Data Across North American Flux Networks, Geophysical Research Letters, 45(6), 9275–9287",https://doi.org/10.1029/2018GL079306,reference_paper,NA,site_id=US-Twt; reference_usage=Reference
ref_10_1029_2018jg004744,10.1029/2018JG004744,"Sullivan, R. C., Cook, D. R., Ghate, V. P., Kotamarthi, V. R., Feng, Y. (2019) Improved Spatiotemporal Representativeness And Bias Reduction Of Satellite-Based Evapotranspiration Retrievals Via Use Of In Situ Meteorology And Constrained Canopy Surface Resistance, Journal Of Geophysical Research: Biogeosciences, 124(2), 342-352",https://doi.org/10.1029/2018JG004744,reference_paper,NA,site_id=US-Twt; reference_usage=Reference
ref_10_1029_2019jg005380,10.1029/2019JG005380,"Hemes, K. S., Verfaillie, J., Baldocchi, D. D. (2020) Wildfire‐Smoke Aerosols Lead To Increased Light Use Efficiency Among Agricultural And Restored Wetland Land Uses In California'S Central Valley, Journal Of Geophysical Research: Biogeosciences, 268(), 202-214",https://doi.org/10.1029/2019JG005380,reference_paper,NA,site_id=US-Bi1; reference_usage=Reference | site_id=US-Bi2; reference_usage=Reference
ref_10_1029_2019jg005534,10.1029/2019JG005534,"Baldocchi, D. D., Ryu, Y., Dechant, B., Eichelmann, E., Hemes, K., Ma, S., Sanchez, C. R., Shortt, R., Szutu, D., Valach, A., Verfaillie, J., Badgley, G., Zeng, Y., Berry, J. A. (2020) Outgoing Near‐Infrared Radiation From Vegetation Scales With Canopy Photosynthesis Across A Spectrum Of Function, Structure, Physiological Capacity, And Weather, Journal Of Geophysical Research: Biogeosciences, 125(7), 108350",https://doi.org/10.1029/2019JG005534,reference_paper,NA,site_id=US-Bi1; reference_usage=Reference | site_id=US-Bi2; reference_usage=Reference
ref_10_1029_2020jd033775,10.1029/2020JD033775,"Rey‐Sanchez, C., Wharton, S., Vilà‐Guerau de Arellano, J., Paw U, K. T., Hemes, K. S., Fuentes, J. D., Osuna, J., Szutu, D., Ribeiro, J. V., Verfaillie, J., Baldocchi, D. (2021) Evaluation Of Atmospheric Boundary Layer Height From Wind Profiling Radar And Slab Models And Its Responses To Seasonality Of Land Cover, Subsidence, And Advection, Journal Of Geophysical Research: Atmospheres, 126(7), 108350",https://doi.org/10.1029/2020JD033775,reference_paper,NA,site_id=US-Bi1; reference_usage=Reference | site_id=US-Bi2; reference_usage=Reference
ref_10_1038_s41467_023_37391_2,10.1038/s41467-023-37391-2,"Anthony, T. L., Szutu, D. J., Verfaillie, J. G., Baldocchi, D. D., Silver, W. L. (2023) Carbon-sink potential of continuous alfalfa agriculture lowered by short-term nitrous oxide emission events, Nature Communications, 14, 1926",https://doi.org/10.1038/s41467-023-37391-2,reference_paper,NA,Exact-site Bouldin alfalfa management and layered soil C and N values used for calval curation.
ref_10_1111_gcb_12745,10.1111/GCB.12745,"Knox, S. H.,, Sturtevant, C., Matthes, J.H., Koteen, L., Verfaillie,J., Baldocchi. D. (2014) Agricultural peatland restoration: effects of land-use change on greenhouse gas (CO2 and CH4) fluxes in the Sacramento-San Joaquin Delta, Global Change Biology, 21(), 750-765",https://doi.org/10.1111/GCB.12745,reference_paper,NA,site_id=US-Twt; reference_usage=Reference
ref_10_1111_gcb_14559,10.1111/GCB.14559,"Baldocchi, D., Penuelas, J. (2018) The Physics And Ecology Of Mining Carbon Dioxide From The Atmosphere By Ecosystems, Global Change Biology, 45(6), 9275–9287",https://doi.org/10.1111/GCB.14559,reference_paper,NA,site_id=US-Twt; reference_usage=Reference
ref_10_1111_gcb_14845,10.1111/GCB.14845,"Kim, Y., Johnson, M. S., Knox, S. H., Black, T. A., Dalmagro, H. J., Kang, M., Kim, J., Baldocchi, D. (2019) Gap‐Filling Approaches For Eddy Covariance Methane Fluxes: A Comparison Of Three Machine Learning Algorithms And A Traditional Method With Principal Component Analysis, Global Change Biology, 20(8), 1619-1633",https://doi.org/10.1111/GCB.14845,reference_paper,NA,site_id=US-Twt; reference_usage=Reference
ref_10_1175_jhm_d_18_0259_1,10.1175/JHM-D-18-0259.1,"Sullivan, R. C., Kotamarthi, V. R., Feng, Y. (2019) Recovering Evapotranspiration Trends From Biased CMIP5 Simulations And Sensitivity To Changing Climate Over North America, Journal Of Hydrometeorology, 20(8), 1619-1633",https://doi.org/10.1175/JHM-D-18-0259.1,reference_paper,NA,site_id=US-Twt; reference_usage=Reference
ref_10_1371_journal_pone_0121432,10.1371/journal.pone.0121432,"Kirk, E. R., van Kessel, C., Horwath, W. R., Linquist, B. A. (2015) Estimating Annual Soil Carbon Loss in Agricultural Peatland Soils Using a Nitrogen Budget Approach, PLOS ONE, 10(3), e0121432",https://doi.org/10.1371/journal.pone.0121432,reference_paper,NA,Exact-site Twitchell Island rice management and soil table used for calval curation.
ref_10_1016_j_agee_2012_01_009,10.1016/J.AGEE.2012.01.009,"Hatala, J. A., Detto, M., Sonnentag, O., Deverel, S. J., Verfaillie, J., Baldocchi, D. D. (2012) Greenhouse Gas (CO2, CH4, H2O) Fluxes From Drained And Flooded Agricultural Peatlands In The Sacramento-San Joaquin Delta, Agriculture, Ecosystems &amp; Environment, 150(6), 1-18",https://doi.org/10.1016/J.AGEE.2012.01.009,reference_paper_primary,NA,site_id=US-Twt; reference_usage=Primary_Citation
ref_10_1016_j_agrformet_2019_01_017,10.1016/J.AGRFORMET.2019.01.017,"Hemes, K. S., Chamberlain, S. D., Eichelmann, E., Anthony, T., Valach, A., Kasak, K., Szutu, D., Verfaillie, J., Silver, W. L., Baldocchi, D. D. (2019) Assessing The Carbon And Climate Benefit Of Restoring Degraded Agricultural Peat Soils To Managed Wetlands, Agricultural And Forest Meteorology, 268(), 202-214",https://doi.org/10.1016/J.AGRFORMET.2019.01.017,reference_paper_primary,NA,site_id=US-Bi1; reference_usage=Primary_Citation | site_id=US-Bi2; reference_usage=Reference
us_bi1_site_page,NA,AmeriFlux site page for US-Bi1,https://ameriflux.lbl.gov/sites/siteinfo/US-Bi1,site_page,NA,NA
us_bi2_site_page,https://ameriflux.lbl.gov/sites/siteinfo/US-Bi2,AmeriFlux site page for US-Bi2,https://ameriflux.lbl.gov/sites/siteinfo/US-Bi2,site_page,NA,NA
us_twt_site_page,NA,AmeriFlux site page for US-Twt,https://ameriflux.lbl.gov/sites/siteinfo/US-Twt,site_page,NA,NA
calval_workflow_2026,https://github.com/lebauerapproach/fluxnet_cal_val,fluxnet_cal_val calval workflow scripts (local repository workflow),NA,workflow,/Users/dlebauer/ccmmf/fluxnet_cal_val/calval/scripts/build_calval_exports.R,git_commit= 74b61e697de7a8b5889bce449b76e67a1238eea7
anthony_bouldin_2024_dryad,10.5061/dryad.qz612jmnx,"Anthony TL, Szutu DJ, Verfaillie JG, Baldocchi DD, Silver WL (2023). Data from: Hot spots and hot moments of greenhouse gas emissions in agricultural peatlands. Dryad Digital Repository. CC0. Companion paper: Biogeochemistry 167:461-477, https://doi.org/10.1007/s10533-023-01095-y",https://doi.org/10.5061/dryad.qz612jmnx,data_publication,NA,CC0. Chamber CO2/CH4/N2O for US-Bi1 and US-Bi2; US-Snf pasture not curated.
expected_us_bi1_fluxnet_1f,10.17190/AMF/1871134,"Rey-Sanchez, C., Wang, C. T., Szutu, D., Shortt, R., Chamberlain, S. D., Verfaillie, J., Baldocchi, D. (2025) AmeriFlux FLUXNET-1F US-Bi1 Bouldin Island Alfalfa, version v1.3_r1, AmeriFlux AMP, Dataset.",https://doi.org/10.17190/AMF/1871134,ameriflux_fluxnet_1f_product,data/raw/fluxnet/US-Bi1/AMF_US-Bi1_FLUXNET_2016-2024_v1.3_r1.zip,Official archive acquired 2026-08-08 with the configured AmeriFlux intended-use and policy metadata. The original filename and embedded README and data-policy files are preserved; the provider supplied no separate download manifest.
expected_us_bi2_fluxnet_1f,10.17190/AMF/1871135,"Rey-Sanchez, C., Wang, C. T., Szutu, D., Hemes, K., Verfaillie, J., Baldocchi, D. (2026) AmeriFlux FLUXNET-1F US-Bi2 Bouldin Island corn, version v1.3_r1, AmeriFlux AMP, Dataset.",https://doi.org/10.17190/AMF/1871135,ameriflux_fluxnet_1f_product,data/raw/fluxnet/US-Bi2/AMF_US-Bi2_FLUXNET_2017-2025_v1.3_r1.zip,Official archive acquired 2026-08-08 with the configured AmeriFlux intended-use and policy metadata. The original filename and embedded README and data-policy files are preserved; 2025 remains inventory-only and the provider supplied no separate download manifest.
ref_10_5061_dryad_qz612jmnx,10.5061/dryad.qz612jmnx,"Anthony, T. L., Silver, W. L. (2023) Data from: Hot spots and hot moments of greenhouse gas emissions in agricultural peatlands. Dryad, Dataset, version v20231106 published 2023-11-06.",https://doi.org/10.5061/dryad.qz612jmnx,data_repository,data/raw/dryad/10.5061_dryad.qz612jmnx/doi_10_5061_dryad_qz612jmnx__v20231106.zip,"Source-native chamber and soil-sensor records are retained in Parquet sidecars. Source timestamps have no reported time zone and are retained as timezone-free source text. README, Methods, and file-observed coverage conflicts are recorded in data/processed/dryad_source_manifest.csv."
ref_10_5281_zenodo_4672601,10.5281/zenodo.4672601,"Delwiche, K. B. et al. (2021), FLUXNET-CH4 Community Product, Appendix B, version 2. Zenodo.",https://doi.org/10.5281/zenodo.4672601,data_repository,data/raw/fluxnet_ch4/10.5281_zenodo.4672601/Delwiche_2020_ESSD_Appendix_B.xlsx,Direct annual CH4 totals and their gap-filling and random uncertainty are imported from sheet 'B2 - Annual values and uncert.'.
expected_us_twt_fluxnet2015,10.18140/FLX/1440106,"FLUXNET (2016) FLUXNET2015 US-Twt Twitchell Island, FULLSET 2009-2014, version 1-4, Dataset.",https://doi.org/10.18140/FLX/1440106,fluxnet2015_site_product,data/raw/fluxnet/US-Twt/FLX_US-Twt_FLUXNET2015_FULLSET_2009-2014_1-4.zip,Official archive acquired 2026-08-08 through the authenticated FLUXNET historical-products portal after intended-use declaration and license acceptance. The original filename is preserved; the portal supplied no separate download manifest and personal intended-use values are not copied into this release.
anthony2020maw,10.1111/gcb.15309,"Anthony, T. L., Silver, W. L. (2020) Mineralogical associations with soil carbon in managed wetland soils, Global Change Biology, 26(11), 6555-6567",https://doi.org/10.1111/gcb.15309,reference_paper,NA,Primary source cited by Anthony et al. 2023 for Bouldin alfalfa layered soil C and N sampling and analysis methods; exact sampling date was not identified in the accessible manuscript.
anthony2021hmd,10.1111/gcb.15802,"Anthony, T. L., Silver, W. L. (2021) Hot moments drive extreme nitrous oxide and methane emissions from agricultural peatlands, Global Change Biology, 27(20), 5141-5153",https://doi.org/10.1111/gcb.15802,reference_paper,NA,"Exact-site US-Bi2 annual N2O and CH4 values from Table 1, annual nitrogen application rate, and agricultural management context used for calval curation."
anthony2023cpo,10.1038/s41467-023-37391-2,"Anthony, T. L., Szutu, D. J., Verfaillie, J. G., Baldocchi, D. D., Silver, W. L. (2023) Carbon-sink potential of continuous alfalfa agriculture lowered by short-term nitrous oxide emission events, Nature Communications, 14, 1926",https://doi.org/10.1038/s41467-023-37391-2,reference_paper,NA,Bouldin alfalfa chamber-field management and layered soil C and N values used for calval curation; the chamber field is spatially distinct from the US-Bi1 tower.
anthony2024hsa,10.1007/s10533-023-01095-y,"Anthony, T. L., Silver, W. L. (2024) Hot spots and hot moments of greenhouse gas emissions in agricultural peatlands, Biogeochemistry, 167, 461-477",https://doi.org/10.1007/s10533-023-01095-y,reference_paper,NA,Bouldin alfalfa chamber-field and exact-site Bouldin corn topsoil pH values and management-period context used for calval curation.
baldocchi2016tio,10.1016/J.AGRFORMET.2016.04.001,"Baldocchi, D., S. Knox, I. Dronova, J. Verfaillie, P. Oikawa, C. Sturtevant, J. H. Matthes, and M. Detto. (2016) The impact of expanding flooded land area on the annual evaporation of rice. Agricultural and Forest Meteorology, Agricultural and Forest Meteorology, 223(6), 181-193",https://doi.org/10.1016/J.AGRFORMET.2016.04.001,reference_paper,NA,site_id=US-Twt; reference_usage=Reference
baldocchi2018tpa,10.1111/GCB.14559,"Baldocchi, D., Penuelas, J. (2018) The Physics And Ecology Of Mining Carbon Dioxide From The Atmosphere By Ecosystems, Global Change Biology, 45(6), 9275–9287",https://doi.org/10.1111/GCB.14559,reference_paper,NA,site_id=US-Twt; reference_usage=Reference
baldocchi2020onr,10.1029/2019JG005534,"Baldocchi, D. D., Ryu, Y., Dechant, B., Eichelmann, E., Hemes, K., Ma, S., Sanchez, C. R., Shortt, R., Szutu, D., Valach, A., Verfaillie, J., Badgley, G., Zeng, Y., Berry, J. A. (2020) Outgoing Near‐Infrared Radiation From Vegetation Scales With Canopy Photosynthesis Across A Spectrum Of Function, Structure, Physiological Capacity, And Weather, Journal Of Geophysical Research: Biogeosciences, 125(7), 108350",https://doi.org/10.1029/2019JG005534,reference_paper,NA,site_id=US-Bi1; reference_usage=Reference | site_id=US-Bi2; reference_usage=Reference
chamberlain2017eod,10.1007/S10546-017-0275-9,"Chamberlain, S. D., Verfaillie, J., Eichelmann, E., Hemes, K. S., Baldocchi, D. D. (2017) Evaluation Of Density Corrections To Methane Fluxes Measured By Open-Path Eddy Covariance Over Contrasting Landscapes, Boundary-Layer Meteorology, 223(6), 181-193",https://doi.org/10.1007/S10546-017-0275-9,reference_paper,NA,site_id=US-Twt; reference_usage=Reference
chu2018tdo,10.1029/2018GL079306,"Chu, H., Baldocchi, D. D., Poindexter, C., Abraha, M., Desai, A. R., Bohrer, G., Arain, M. A., Griffis, T., Blanken, P. D., O'Halloran, T. L., Thomas, R. Q., Zhang, Q., Burns, S. P., Frank, J. M., Christian, D., Brown, S., Black, T. A., Gough, C. M., Law, B. E., Lee, X., Chen, J., Reed, D. E., Massman, W. J., Clark, K., Hatfield, J., Prueger, J., Bracho, R., Baker, J. M., Martin, T. A. (2018) Temporal Dynamics Of Aerodynamic Canopy Height Derived From Eddy Covariance Momentum Flux Data Across North American Flux Networks, Geophysical Research Letters, 45(6), 9275–9287",https://doi.org/10.1029/2018GL079306,reference_paper,NA,site_id=US-Twt; reference_usage=Reference
chu2021roe,10.1016/J.AGRFORMET.2021.108350,"Chu, H., Luo, X., Ouyang, Z., Chan, W. S., Dengel, S., Biraud, S. C., Torn, M. S., Metzger, S., Kumar, J., Arain, M. A., Arkebauer, T. J., Baldocchi, D., Bernacchi, C., Billesbach, D., Black, T. A., Blanken, P. D., Bohrer, G., Bracho, R., Brown, S., Brunsell, N. A., Chen, J., Chen, X., Clark, K., Desai, A. R., Duman, T., Durden, D., Fares, S., Forbrich, I., Gamon, J. A., Gough, C. M., Griffis, T., Helbig, M., Hollinger, D., Humphreys, E., Ikawa, H., Iwata, H., Ju, Y., Knowles, J. F., Knox, S. H., Kobayashi, H., Kolb, T., Law, B., Lee, X., Litvak, M., Liu, H., Munger, J. W., Noormets, A., Novick, K., Oberbauer, S. F., Oechel, W., Oikawa, P., Papuga, S. A., Pendall, E., Prajapati, P., Prueger, J., Quinton, W. L., Richardson, A. D., Russell, E. S., Scott, R. L., Starr, G., Staebler, R., Stoy, P. C., Stuart-Haëntjens, E., Sonnentag, O., Sullivan, R. C., Suyker, A., Ueyama, M., Vargas, R., Wood, J. D., Zona, D. (2021) Representativeness Of Eddy-Covariance Flux Footprints For Areas Surrounding Ameriflux Sites, Agricultural And Forest Meteorology, 301-302(), 108350",https://doi.org/10.1016/J.AGRFORMET.2021.108350,reference_paper,NA,site_id=US-Bi1; reference_usage=Reference | site_id=US-Bi2; reference_usage=Reference
eichelmann2018teo,10.1016/J.AGRFORMET.2018.03.007,"Eichelmann, E., Hemes, K. S., Knox, S. H., Oikawa, P. Y., Chamberlain, S. D., Sturtevant, C., Verfaillie, J., Baldocchi, D. D. (2018) The Effect Of Land Cover Type And Structure On Evapotranspiration From Agricultural And Wetland Sites In The Sacramento–San Joaquin River Delta, California, Agricultural And Forest Meteorology, 256-257(6), 179-195",https://doi.org/10.1016/J.AGRFORMET.2018.03.007,reference_paper,NA,site_id=US-Twt; reference_usage=Reference
hatala2012gep,10.1029/2012GL051303,"Hatala, J. A., Detto, M., Baldocchi, D. D. (2012) Gross Ecosystem Photosynthesis Causes A Diurnal Pattern In Methane Emission From Rice, Geophysical Research Letters, 39(6), n/a-n/a",https://doi.org/10.1029/2012GL051303,reference_paper,NA,site_id=US-Twt; reference_usage=Reference
hemes2020wal,10.1029/2019JG005380,"Hemes, K. S., Verfaillie, J., Baldocchi, D. D. (2020) Wildfire‐Smoke Aerosols Lead To Increased Light Use Efficiency Among Agricultural And Restored Wetland Land Uses In California'S Central Valley, Journal Of Geophysical Research: Biogeosciences, 268(), 202-214",https://doi.org/10.1029/2019JG005380,reference_paper,NA,site_id=US-Bi1; reference_usage=Reference | site_id=US-Bi2; reference_usage=Reference
kasak2021rwo,10.1016/j.jenvman.2021.113562,"Kasak, K., Espenberg, M., Anthony, T. L., Tringe, S. G., Valach, A. C., Hemes, K. S., Silver, W. L., Mander, U., Kill, K., McNicol, G., Szutu, D., Verfaillie, J., Baldocchi, D. D. (2021) Restoring wetlands on intensive agricultural lands modifies nitrogen cycling microbial communities and reduces N2O production potential, Journal of Environmental Management, 299, 113562",https://doi.org/10.1016/j.jenvman.2021.113562,reference_paper,NA,Exact-site Bouldin corn management and August 2018 soil chemistry used for calval curation.
