event_id,sites.name,treatments.name,min_date,max_date,mgmttype,cover_crop,crop_name,level,units,notes,attributes_keyvalue,citation,site_id,treatment_id,event_type,exact_date,estimated,citation_id,relative_timing,relative_timing_days,reported_amount,reported_units,reported_material,crop_display,depth_m,intensity_category,method_id,attributes_json
fertilization-0005,salinas_socs,socs_sys6,2005-04-01,2005-06-01,fertilization,NA,NA,7.6,Mg ha-1 (oven-dry),paper text: before lettuce planting,material=composted_green_waste; N_content_g_kg=15; season=spring; relative_timing=before_planting; relative_to=romaine_lettuce,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fertilization-0006,salinas_socs,socs_sys7,2005-04-01,2005-06-01,fertilization,NA,NA,7.6,Mg ha-1 (oven-dry),paper text: before lettuce planting,material=composted_green_waste; N_content_g_kg=15; season=spring; relative_timing=before_planting; relative_to=romaine_lettuce,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fertilization-0007,salinas_socs,socs_sys8,2005-04-01,2005-06-01,fertilization,NA,NA,7.6,Mg ha-1 (oven-dry),paper text: before lettuce planting,material=composted_green_waste; N_content_g_kg=15; season=spring; relative_timing=before_planting; relative_to=romaine_lettuce,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
planting-0007,salinas_socs,socs_sys1,2005-05-01,2005-06-15,planting,FALSE,NA,NA,NA,paper text: spring planting (Salinas Valley spring crop),crop=romaine_lettuce; transplant=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
planting-0008,salinas_socs,socs_sys2,2005-05-01,2005-06-15,planting,FALSE,NA,NA,NA,paper text: spring planting (Salinas Valley spring crop),crop=romaine_lettuce; transplant=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
planting-0009,salinas_socs,socs_sys3,2005-05-01,2005-06-15,planting,FALSE,NA,NA,NA,paper text: spring planting (Salinas Valley spring crop),crop=romaine_lettuce; transplant=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
planting-0010,salinas_socs,socs_sys4,2005-05-01,2005-06-15,planting,FALSE,NA,NA,NA,paper text: spring planting (Salinas Valley spring crop),crop=romaine_lettuce; transplant=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
planting-0011,salinas_socs,socs_sys5,2005-05-01,2005-06-15,planting,FALSE,NA,NA,NA,paper text: spring planting (Salinas Valley spring crop),crop=romaine_lettuce; transplant=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
planting-0012,salinas_socs,socs_sys6,2005-05-01,2005-06-15,planting,FALSE,NA,NA,NA,paper text: spring planting (Salinas Valley spring crop),crop=romaine_lettuce; transplant=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
planting-0013,salinas_socs,socs_sys7,2005-05-01,2005-06-15,planting,FALSE,NA,NA,NA,paper text: spring planting (Salinas Valley spring crop),crop=romaine_lettuce; transplant=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
planting-0014,salinas_socs,socs_sys8,2005-05-01,2005-06-15,planting,FALSE,NA,NA,NA,paper text: spring planting (Salinas Valley spring crop),crop=romaine_lettuce; transplant=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
harvest-0001,salinas_socs,socs_sys1,2005-06-15,2005-08-01,harvest,NA,NA,NA,NA,paper text: summer harvest (Salinas Valley spring crop),crop=romaine_lettuce; harvested_component=head; stover_left=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
harvest-0002,salinas_socs,socs_sys2,2005-06-15,2005-08-01,harvest,NA,NA,NA,NA,paper text: summer harvest (Salinas Valley spring crop),crop=romaine_lettuce; harvested_component=head; stover_left=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
harvest-0003,salinas_socs,socs_sys3,2005-06-15,2005-08-01,harvest,NA,NA,NA,NA,paper text: summer harvest (Salinas Valley spring crop),crop=romaine_lettuce; harvested_component=head; stover_left=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
harvest-0004,salinas_socs,socs_sys4,2005-06-15,2005-08-01,harvest,NA,NA,NA,NA,paper text: summer harvest (Salinas Valley spring crop),crop=romaine_lettuce; harvested_component=head; stover_left=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
harvest-0005,salinas_socs,socs_sys5,2005-06-15,2005-08-01,harvest,NA,NA,NA,NA,paper text: summer harvest (Salinas Valley spring crop),crop=romaine_lettuce; harvested_component=head; stover_left=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
harvest-0006,salinas_socs,socs_sys6,2005-06-15,2005-08-01,harvest,NA,NA,NA,NA,paper text: summer harvest (Salinas Valley spring crop),crop=romaine_lettuce; harvested_component=head; stover_left=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
harvest-0007,salinas_socs,socs_sys7,2005-06-15,2005-08-01,harvest,NA,NA,NA,NA,paper text: summer harvest (Salinas Valley spring crop),crop=romaine_lettuce; harvested_component=head; stover_left=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
harvest-0008,salinas_socs,socs_sys8,2005-06-15,2005-08-01,harvest,NA,NA,NA,NA,paper text: summer harvest (Salinas Valley spring crop),crop=romaine_lettuce; harvested_component=head; stover_left=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fertilization-0008,salinas_socs,socs_sys2,2005-08-01,2005-10-01,fertilization,NA,NA,8,Mg ha-1 (oven-dry),paper text: before broccoli planting,material=composted_green_waste; N_content_g_kg=15; season=fall; relative_timing=before_planting; relative_to=broccoli,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fertilization-0009,salinas_socs,socs_sys3,2005-08-01,2005-10-01,fertilization,NA,NA,8,Mg ha-1 (oven-dry),paper text: before broccoli planting,material=composted_green_waste; N_content_g_kg=15; season=fall; relative_timing=before_planting; relative_to=broccoli,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fertilization-0010,salinas_socs,socs_sys4,2005-08-01,2005-10-01,fertilization,NA,NA,8,Mg ha-1 (oven-dry),paper text: before broccoli planting,material=composted_green_waste; N_content_g_kg=15; season=fall; relative_timing=before_planting; relative_to=broccoli,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fertilization-0011,salinas_socs,socs_sys5,2005-08-01,2005-10-01,fertilization,NA,NA,8,Mg ha-1 (oven-dry),paper text: before broccoli planting,material=composted_green_waste; N_content_g_kg=15; season=fall; relative_timing=before_planting; relative_to=broccoli,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fertilization-0012,salinas_socs,socs_sys6,2005-08-01,2005-10-01,fertilization,NA,NA,7.6,Mg ha-1 (oven-dry),paper text: before broccoli planting,material=composted_green_waste; N_content_g_kg=15; season=fall; relative_timing=before_planting; relative_to=broccoli,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fertilization-0013,salinas_socs,socs_sys7,2005-08-01,2005-10-01,fertilization,NA,NA,7.6,Mg ha-1 (oven-dry),paper text: before broccoli planting,material=composted_green_waste; N_content_g_kg=15; season=fall; relative_timing=before_planting; relative_to=broccoli,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fertilization-0014,salinas_socs,socs_sys8,2005-08-01,2005-10-01,fertilization,NA,NA,7.6,Mg ha-1 (oven-dry),paper text: before broccoli planting,material=composted_green_waste; N_content_g_kg=15; season=fall; relative_timing=before_planting; relative_to=broccoli,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
planting-0015,salinas_socs,socs_sys1,2005-07-15,2005-09-01,planting,FALSE,NA,NA,NA,paper text: summer-fall harvest (Salinas Valley),crop=broccoli; transplant=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
planting-0016,salinas_socs,socs_sys2,2005-07-15,2005-09-01,planting,FALSE,NA,NA,NA,paper text: summer-fall harvest (Salinas Valley),crop=broccoli; transplant=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
planting-0017,salinas_socs,socs_sys3,2005-07-15,2005-09-01,planting,FALSE,NA,NA,NA,paper text: summer-fall harvest (Salinas Valley),crop=broccoli; transplant=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
planting-0018,salinas_socs,socs_sys4,2005-07-15,2005-09-01,planting,FALSE,NA,NA,NA,paper text: summer-fall harvest (Salinas Valley),crop=broccoli; transplant=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
planting-0019,salinas_socs,socs_sys5,2005-07-15,2005-09-01,planting,FALSE,NA,NA,NA,paper text: summer-fall harvest (Salinas Valley),crop=broccoli; transplant=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
planting-0020,salinas_socs,socs_sys6,2005-07-15,2005-09-01,planting,FALSE,NA,NA,NA,paper text: summer-fall harvest (Salinas Valley),crop=broccoli; transplant=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
planting-0021,salinas_socs,socs_sys7,2005-07-15,2005-09-01,planting,FALSE,NA,NA,NA,paper text: summer-fall harvest (Salinas Valley),crop=broccoli; transplant=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
planting-0022,salinas_socs,socs_sys8,2005-07-15,2005-09-01,planting,FALSE,NA,NA,NA,paper text: summer-fall harvest (Salinas Valley),crop=broccoli; transplant=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
harvest-0009,salinas_socs,socs_sys1,2005-09-01,2005-11-01,harvest,NA,NA,NA,NA,paper text: fall planting (Salinas Valley fall crop),crop=broccoli; harvested_component=floret; stover_left=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
harvest-0010,salinas_socs,socs_sys2,2005-09-01,2005-11-01,harvest,NA,NA,NA,NA,paper text: fall planting (Salinas Valley fall crop),crop=broccoli; harvested_component=floret; stover_left=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
harvest-0011,salinas_socs,socs_sys3,2005-09-01,2005-11-01,harvest,NA,NA,NA,NA,paper text: fall planting (Salinas Valley fall crop),crop=broccoli; harvested_component=floret; stover_left=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
harvest-0012,salinas_socs,socs_sys4,2005-09-01,2005-11-01,harvest,NA,NA,NA,NA,paper text: fall planting (Salinas Valley fall crop),crop=broccoli; harvested_component=floret; stover_left=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
harvest-0013,salinas_socs,socs_sys5,2005-09-01,2005-11-01,harvest,NA,NA,NA,NA,paper text: fall planting (Salinas Valley fall crop),crop=broccoli; harvested_component=floret; stover_left=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
harvest-0014,salinas_socs,socs_sys6,2005-09-01,2005-11-01,harvest,NA,NA,NA,NA,paper text: fall planting (Salinas Valley fall crop),crop=broccoli; harvested_component=floret; stover_left=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
harvest-0015,salinas_socs,socs_sys7,2005-09-01,2005-11-01,harvest,NA,NA,NA,NA,paper text: fall planting (Salinas Valley fall crop),crop=broccoli; harvested_component=floret; stover_left=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
harvest-0016,salinas_socs,socs_sys8,2005-09-01,2005-11-01,harvest,NA,NA,NA,NA,paper text: fall planting (Salinas Valley fall crop),crop=broccoli; harvested_component=floret; stover_left=yes,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tillage-0009,salinas_socs,socs_sys1,2005-10-01,2005-11-12,tillage,NA,NA,45,cm depth,paper text: post-broccoli fall harvest,implement=subsoiler; relative_timing=after_harvest; relative_to=broccoli,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tillage-0010,salinas_socs,socs_sys2,2005-10-01,2005-11-12,tillage,NA,NA,45,cm depth,paper text: post-broccoli fall harvest,implement=subsoiler; relative_timing=after_harvest; relative_to=broccoli,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tillage-0011,salinas_socs,socs_sys3,2005-10-01,2005-11-12,tillage,NA,NA,45,cm depth,paper text: post-broccoli fall harvest,implement=subsoiler; relative_timing=after_harvest; relative_to=broccoli,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tillage-0012,salinas_socs,socs_sys4,2005-10-01,2005-11-12,tillage,NA,NA,45,cm depth,paper text: post-broccoli fall harvest,implement=subsoiler; relative_timing=after_harvest; relative_to=broccoli,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tillage-0013,salinas_socs,socs_sys5,2005-10-01,2005-11-12,tillage,NA,NA,45,cm depth,paper text: post-broccoli fall harvest,implement=subsoiler; relative_timing=after_harvest; relative_to=broccoli,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tillage-0014,salinas_socs,socs_sys6,2005-10-01,2005-11-12,tillage,NA,NA,45,cm depth,paper text: post-broccoli fall harvest,implement=subsoiler; relative_timing=after_harvest; relative_to=broccoli,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tillage-0015,salinas_socs,socs_sys7,2005-10-01,2005-11-12,tillage,NA,NA,45,cm depth,paper text: post-broccoli fall harvest,implement=subsoiler; relative_timing=after_harvest; relative_to=broccoli,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tillage-0016,salinas_socs,socs_sys8,2005-10-01,2005-11-12,tillage,NA,NA,45,cm depth,paper text: post-broccoli fall harvest,implement=subsoiler; relative_timing=after_harvest; relative_to=broccoli,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
planting-0023,salinas_socs,socs_sys3,2005-10-01,2005-11-12,planting,TRUE,legume-rye,NA,NA,paper text: fall planting,seeding_rate_relative=1x_conventional,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
planting-0024,salinas_socs,socs_sys4,2005-10-01,2005-11-12,planting,TRUE,legume-rye,NA,NA,paper text: fall planting,seeding_rate_relative=3x_conventional,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
planting-0025,salinas_socs,socs_sys5,2005-10-01,2005-11-12,planting,TRUE,mustard,NA,NA,paper text: fall planting,NA,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
planting-0026,salinas_socs,socs_sys6,2005-10-01,2005-11-12,planting,TRUE,mustard,NA,NA,paper text: fall planting,seeding_rate_relative=3x_conventional,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
planting-0027,salinas_socs,socs_sys7,2005-10-01,2005-11-12,planting,TRUE,rye,NA,NA,paper text: fall planting,NA,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
planting-0028,salinas_socs,socs_sys8,2005-10-01,2005-11-12,planting,TRUE,rye,NA,NA,paper text: fall planting,seeding_rate_relative=3x_conventional,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tillage-0017,salinas_socs,socs_sys1,2006-02-01,2006-03-15,tillage,NA,NA,NA,NA,paper text: late winter cover crop incorporation,implement=spader,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tillage-0018,salinas_socs,socs_sys2,2006-02-01,2006-03-15,tillage,NA,NA,NA,NA,paper text: late winter cover crop incorporation,implement=spader,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tillage-0019,salinas_socs,socs_sys3,2006-02-01,2006-03-15,tillage,NA,NA,NA,NA,paper text: late winter cover crop incorporation,implement=spader,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tillage-0020,salinas_socs,socs_sys4,2006-02-01,2006-03-15,tillage,NA,NA,NA,NA,paper text: late winter cover crop incorporation,implement=spader,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tillage-0021,salinas_socs,socs_sys5,2006-02-01,2006-03-15,tillage,NA,NA,NA,NA,paper text: late winter cover crop incorporation,implement=spader,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tillage-0022,salinas_socs,socs_sys6,2006-02-01,2006-03-15,tillage,NA,NA,NA,NA,paper text: late winter cover crop incorporation,implement=spader,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tillage-0023,salinas_socs,socs_sys7,2006-02-01,2006-03-15,tillage,NA,NA,NA,NA,paper text: late winter cover crop incorporation,implement=spader,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tillage-0024,salinas_socs,socs_sys8,2006-02-01,2006-03-15,tillage,NA,NA,NA,NA,paper text: late winter cover crop incorporation,implement=spader,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fertilization-0015,salinas_socs,socs_sys2,2006-04-01,2006-06-01,fertilization,NA,NA,7.6,Mg ha-1 (oven-dry),paper text: before lettuce planting,material=composted_green_waste; N_content_g_kg=15; season=spring; relative_timing=before_planting; relative_to=romaine_lettuce,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fertilization-0016,salinas_socs,socs_sys3,2006-04-01,2006-06-01,fertilization,NA,NA,7.6,Mg ha-1 (oven-dry),paper text: before lettuce planting,material=composted_green_waste; N_content_g_kg=15; season=spring; relative_timing=before_planting; relative_to=romaine_lettuce,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fertilization-0017,salinas_socs,socs_sys4,2006-04-01,2006-06-01,fertilization,NA,NA,7.6,Mg ha-1 (oven-dry),paper text: before lettuce planting,material=composted_green_waste; N_content_g_kg=15; season=spring; relative_timing=before_planting; relative_to=romaine_lettuce,10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
